"id","nombre","descripcion","tipo_capa","fecha_registro","id_categoria","id_institucion","usuario_registro","fecha_registro-2"
147,"Investigadores del RENACYT por género- distrito (Reglamento 2021)",NULL,1,NULL,17,59,1,"2026-02-18 10:17:21.177581-05"
148,"Investigadores del RENACYT por nivel - distrito (Reglamento 2021)",NULL,1,NULL,17,59,1,"2026-02-18 10:17:21.177581-05"
149,"Centros de Investigación Autorizados",NULL,1,NULL,17,59,1,"2026-02-18 10:17:21.177581-05"
150,"Por sexo",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
151,"Por grupo de edad",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
152,"Por tipo de deficiencia en la discapacidad física",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
153,"Por tipo de deficiencia en la discapacidad sensorial",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
154,"Por tipo de deficiencia en la discapacidad intelectual",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
155,"Por tipo de deficiencia en la discapacidad mental",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
156,"Por nivel de gravedad leve",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
157,"Por nivel de gravedad moderado",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
158,"Por nivel de gravedad severo",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
159,"Por nivel de gravedad no especificado",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
160,"% Población por sexo (2017)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
161,"% Población por tenencia de seguro de salud (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
162,"% Población que no se atendieron en un centro de salud (2014 al 2023)",NULL,1,NULL,10,231,1,"2026-02-18 10:17:21.177581-05"
163,"% Población de 14 años a más ocupada, por sectores económicos (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
164,"% Población de 14 años a más, ocupada (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
165,"% Población de 14 años a más, por condición de PEA y no PEA (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
166,"% Población que participa en organizaciones sociales por año (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
167,"% Población con discapacidad por tipo de dificultad o limitación permanente (2017)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
168,"% Población que tiene acceso a agua potable (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
169,"% Población que tiene electricidad en su vivienda (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
170,"% Población en situación de pobreza monetaria extrema (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
171,"% Población en situación de pobreza monetaria (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
172,"% Población de 6 años a más que accede y usa internet (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
173,"Población de 3 años a más, por nivel educativo alcanzado (2017)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
174,"Promedio de años de estudio de la población de 15 años a más (2014 al 2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
175,"Instituciones Educativas Fiscalizadas (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
176,"En las Municipalidades Provinciales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
177,"En los Gobiernos Regionales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
178,"En las Municipalidades Distritales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
179,"En Otras Entidades Públicas",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
180,"En el transporte, tránsito y seguridad vial según regiones y entidades (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
181,"En la comunicación, según regiones y entidades (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
182,"En las TICS, según regiones y entidades (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
183,"Al medio físico según entidades, puntos de intervención y regiones (2023)",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
184,"En los Gobiernos Regionales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
185,"En las Municipalidades Provinciales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
186,"En las Municipalidades Distritales",NULL,1,NULL,17,231,1,"2026-02-18 10:17:21.177581-05"
187,"Sedes",NULL,1,NULL,17,181,1,"2026-02-18 10:17:21.177581-05"
188,"Líneas de transmisión",NULL,1,NULL,20,177,1,"2026-02-18 10:17:21.177581-05"
189,"Redes media tensión - Sistemas eléctricos",NULL,1,NULL,20,177,1,"2026-02-18 10:17:21.177581-05"
190,"Centros de generación",NULL,1,NULL,20,177,1,"2026-02-18 10:17:21.177581-05"
191,"Centros de transformación (P.E)",NULL,1,NULL,20,177,1,"2026-02-18 10:17:21.177581-05"
192,"Oficina principal",NULL,1,NULL,20,178,1,"2026-02-18 10:17:21.177581-05"
193,"Centro de atención al cliente",NULL,1,NULL,20,178,1,"2026-02-18 10:17:21.177581-05"
194,"Subestación de transmisión",NULL,1,NULL,20,178,1,"2026-02-18 10:17:21.177581-05"
195,"Oficinas de atención al cliente",NULL,1,NULL,20,178,1,"2026-02-18 10:17:21.177581-05"
196,"Unidad de negocios",NULL,1,NULL,20,178,1,"2026-02-18 10:17:21.177581-05"
197,"Centros de Atención al Cliente de Hidrandina S.A.","",1,NULL,20,179,1,"2026-02-18 10:17:21.177581-05"
198,"Centros de atención",NULL,1,NULL,17,2147,1,"2026-02-18 10:17:21.177581-05"
199,"Centros de cobranza",NULL,1,NULL,20,2147,1,"2026-02-18 10:17:21.177581-05"
200,"Afiliados activos del seguro SALUDPOL (Derechohabiente)",NULL,1,NULL,17,2149,1,"2026-02-18 10:17:21.177581-05"
201,"Afiliados activos del seguro SALUDPOL (Titular)",NULL,1,NULL,17,2149,1,"2026-02-18 10:17:21.177581-05"
202,"Afiliados activos por grupo de edad",NULL,1,NULL,10,162,1,"2026-02-18 10:17:21.177581-05"
203,"Afiliados activos por régimen de financiamiento",NULL,1,NULL,10,162,1,"2026-02-18 10:17:21.177581-05"
204,"Afiliados activos según sexo",NULL,1,NULL,10,162,1,"2026-02-18 10:17:21.177581-05"
205,"Compras My Perú",NULL,1,NULL,17,236,1,"2026-02-18 10:17:21.177581-05"
206,"Límites de unidades territoriales",NULL,1,NULL,17,236,1,"2026-02-18 10:17:21.177581-05"
207,"Haku CPP",NULL,1,NULL,17,236,1,"2026-02-18 10:17:21.177581-05"
208,"Haku Flag",NULL,1,NULL,17,236,1,"2026-02-18 10:17:21.177581-05"
209,"Afiliados por plan de seguro",NULL,1,NULL,10,162,1,"2026-02-18 10:17:21.177581-05"
210,"Anemia en Gestantes",NULL,1,NULL,10,160,1,"2026-02-18 10:17:21.177581-05"
211,"Modalidad Construcción en Sitio Propio (CSP)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
212,"Modalidad CSP Reconstrucción (CSP-r)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
213,"Modalidad Adquisición de Vivienda Nueva (AVN)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
214,"Modalidad AVN Reconstrucción (AVN-r)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
215,"Créditos Mivivienda con BBP Sostenible",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
216,"Nuevo Crédito MIVIVIENDA (NCMV)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
217,"Financiamiento Complementario Techo Propio (FCTP)",NULL,1,NULL,20,220,1,"2026-02-18 10:17:21.177581-05"
218,"Centro de Procesamiento Pesquero Artesanal",NULL,1,NULL,6,224,1,"2026-02-18 10:17:21.177581-05"
219,"Infraestructura Pesquera Artesanal",NULL,1,NULL,6,224,1,"2026-02-18 10:17:21.177581-05"
220,"Centro de Acuicultura",NULL,1,NULL,6,224,1,"2026-02-18 10:17:21.177581-05"
221,"Centro de Educación Técnico",NULL,1,NULL,6,224,1,"2026-02-18 10:17:21.177581-05"
222,"Muelle Pesquero Artesanal",NULL,1,NULL,6,224,1,"2026-02-18 10:17:21.177581-05"
223,"Áreas de Conservación Ambiental",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
224,"Áreas de Conservación Privada",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
225,"Áreas de Conservación Regional",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
226,"Áreas Naturales Protegidas",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
227,"Áreas Naturales Protegidas de Administración Nacional Definitiva",NULL,1,NULL,5,242,1,"2026-02-18 10:17:21.177581-05"
228,"Áreas Urbanas",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
229,"Autorización es PFDMAVNB",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
230,"Concesiones para Conservación",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
231,"Cuerpos de Agua",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
232,"Drenaje superficial",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
233,"Ecosistemas frágiles",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
234,"Límite Departamental",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
235,"Límite Distrital",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
236,"Límite Provincial",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
237,"Permisos",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
238,"Permisos Forestales",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
239,"Sedes y Puestos de control",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
240,"Zonas de amortiguamiento en Áreas Naturales Protegidas",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
241,"Zonas Reservadas",NULL,1,NULL,14,242,1,"2026-02-18 10:17:21.177581-05"
242,"Información Base",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
243,"Medio Ambiental",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
244,"Medio Biológico",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
245,"Medio Cultural",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
246,"Medio Físico",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
247,"Sector Económico",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
248,"SM Aptitud Urbano Industrial",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
249,"SM Conflictos Uso",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
250,"SM Peligros Potenciales Múltiples",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
251,"SM Potencialidades Socioeconómicas",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
252,"SM V Bioecológico",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
253,"SM V Histórico Cultural",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
254,"SM V Prod RRNN No Renovables",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
255,"SM V Prod RRNN Renovables",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
256,"SM Vulnerabilidad",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
257,"ZEE",NULL,1,NULL,14,247,1,"2026-02-18 10:17:21.177581-05"
258,"ACR",NULL,1,NULL,14,255,1,"2026-02-18 10:17:21.177581-05"
259,"Bosque húmedo tropical",NULL,1,NULL,14,255,1,"2026-02-18 10:17:21.177581-05"
260,"Circunscripción política",NULL,1,NULL,14,255,1,"2026-02-18 10:17:21.177581-05"
261,"Comunidades Campesinas",NULL,1,NULL,14,255,1,"2026-02-18 10:17:21.177581-05"
