"id","nombre","descripcion","tipo_capa","publicar_geoperu","fecha_registro","id_categoria","id_institucion","usuario_crea","fecha_crea","usuario_modifica","fecha_modifica"
1197,"Jurisdicciones Comisarias Básicas",NULL,1,True,NULL,17,81,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1198,"Jurisdicciones de comisaria de familia",NULL,1,True,NULL,17,81,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1199,"Distritos Fiscales",NULL,1,True,NULL,17,184,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1200,"Mapeo de Lugar de Procedencia de internos con casos TB",NULL,1,True,NULL,17,77,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1201,"Mapeo de Lugar de Procedencia de la Población Penitenciaria",NULL,1,True,NULL,17,77,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1202,"Mapeo de Lugar de Procedencia de los Venezolanos",NULL,1,True,NULL,17,77,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1203,"Oficinas Regionales",NULL,1,True,NULL,17,77,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1204,"Proyectos - Distrital",NULL,1,True,NULL,6,88,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1205,"Proyectos - Provincial",NULL,1,True,NULL,6,88,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1206,"Puestos Fronterizos",NULL,1,True,NULL,17,81,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1207,"Centro de Atención",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1208,"Puntos de Atención",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1209,"Centros MAC",NULL,1,True,NULL,17,45,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1210,"MAC Express",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1211,"Autoservicio",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1212,"Afiliados del Sistema Nacional de Pensiones (SNP)",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1213,"Pensionistas del Sistema Nacional de Pensiones (SNP)",NULL,1,True,NULL,6,93,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1214,"Accesibilidad entre Capitales",NULL,1,True,NULL,17,204,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1215,"Población Electoral Total",NULL,1,True,NULL,17,204,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1216,"Población electoral de 18 a 30 años",NULL,1,True,NULL,17,204,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1217,"Población electoral de 30 a 59 años",NULL,1,True,NULL,17,204,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
1218,"Población electoral de 60 años a más",NULL,1,True,NULL,17,204,1,"2026-02-18 10:17:21.177581-05",NULL,NULL
