"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1576,795,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_02_mimp_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_02_mimp_","SECTORES GOBIERNO NACIONAL | MIMP | Proyectos - Departamental",True,752,1,"2026-02-18 11:14:23.709268-05"
1577,112,11,"http://200.60.23.226:8080/geoserver/PCM/wms?service=WMS&request=GetCapabilities","","",False,8538,1,"2026-02-18 11:14:23.709268-05"
1578,2002,12,"https://pifa.oefa.gob.pe/server_gis/services/Metadatos/Recurso_Energetico_Renovable_Pto/MapServer/WFSServer?request=GetCapabilities&service=WFS","Recurso_Energetico_Renovable_Pto:Recurso_Energético_Renovable_-_RER","Recurso_Energético_Renovable_-_RER",True,41976,1,"2026-02-18 11:14:23.709268-05"
1579,1813,11,"http://geoportal.minem.gob.pe/minem/services/ATLASHIDROL/MAPA_POTENCIAL_TECNICO_Y_PROYECTOS_PRIORITARIOS/MapServer/WMSServer?request=GetCapabilities&service=WMS","7","Límite de Cuencas",True,42429,1,"2026-02-18 11:14:23.709268-05"
1580,503,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_estrato_nacional_/wms?service=WMS&request=GetCapabilities","peru_estrato_nacional_","POBREZA | ESTRATIFICACIÓN SOCIOECONÓMICA | INGRESO PERCÁPITA DEL HOGAR",True,1207,1,"2026-02-18 11:14:23.709268-05"
1581,1411,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250619123324___Casos_al_11_de_febrero_del_2024/wms?service=WMS&request=GetCapabilities","20250619123324___Casos_al_11_de_febrero_del_2024","20250619123324___Casos_al_11_de_febrero_del_2024",True,41108,1,"2026-02-18 11:14:23.709268-05"
1582,1860,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_01_01/01_01_005_03_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","01_01_005_03_001_512_0000_00_00","TEMPERATURA MINIMA EXTREMA P10 - MAYO",True,41515,1,"2026-02-18 11:14:23.709268-05"
1583,793,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_04_prov_produce_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_04_prov_produce_","SECTORES GOBIERNO NACIONAL | PRODUCE | Actividades y Proyectos - Provincial",True,750,1,"2026-02-18 11:14:23.709268-05"
1584,746,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_03_dist_minem_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_03_dist_minem_","SECTORES GOBIERNO NACIONAL | MINEM | Actividades - Distrital",True,703,1,"2026-02-18 11:14:23.709268-05"
1585,61,11,"https://geosnirh.ana.gob.pe/server/services/Emergencias/Poblaciones_vulnerables_2016_2017/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","Poblaciones vulnerables 2016 - 2017",True,38841,1,"2026-02-18 11:14:23.709268-05"
1586,330,11,"https://ide.igp.gob.pe/geoserver/SCAHanomNDVI/wms?Request=Getcapabilities&service=WMS","AnomaliaNDVI","AnomaliaNDVI",True,39436,1,"2026-02-18 11:14:23.709268-05"
1587,405,11,"https://www.idep.gob.pe/geoportal/services/SERVICIOS_IGN/TRANSPORTES_Y_COMUNICACIONES_500K/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","Vias de Transportes",True,42361,1,"2026-02-18 11:14:23.709268-05"
1588,102,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_riesgos_agricultura_/wms?service=WMS&request=GetCapabilities","peru_riesgos_agricultura_","RIESGOS | RIESGOS POR SECTORES | Heladas y friaje sector Agricultura Agrícola",True,1182,1,"2026-02-18 11:14:23.709268-05"
1589,1293,11,"https://gisem.osinergmin.gob.pe/serverosih/services/OGC/PeruOsinergmin019AlumbradoPublico/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","Tramo de Alumbrado Público",True,40826,1,"2026-02-18 11:14:23.709268-05"
1590,615,12,"https://winlmprap09.midagri.gob.pe/winlmprap14/services/servicios_ogc/Peru_midagri_0702/MapServer/WFSServer?request=GetCapabilities&service=WFS","","",True,39702,1,"2026-02-18 11:14:23.709268-05"
1591,1767,11,"https://geo.serfor.gob.pe/geoservicios/services/Servicios_OGC/Inventario_Forestal/MapServer/WMSServer?request=GetCapabilities&service=WMS","1","Ecosistemas_Fragiles",True,19470,1,"2026-02-18 11:14:23.709268-05"
1592,1575,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_infraestuctura_nodos_red_regional_foptica_/wms?service=WMS&request=GetCapabilities","peru_infraestuctura_nodos_red_regional_foptica_","peru_infraestuctura_nodos_red_regional_foptica",True,23989,1,"2026-02-18 11:14:23.709268-05"
1593,1476,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20251022083627___Casos_al_11_de_agosto_del_2025/wms?service=WMS&request=GetCapabilities","20251022083627___Casos_al_11_de_agosto_del_2025","20251022083627___Casos_al_11_de_agosto_del_2025",True,41670,1,"2026-02-18 11:14:23.709268-05"
1594,1562,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260123112005___Sedes_enero2026/wms?service=WMS&request=GetCapabilities","20260123112005___Sedes_enero2026","20260123112005___Sedes_enero2026",True,42136,1,"2026-02-18 11:14:23.709268-05"
1595,1373,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250206175623___Casos_al_08_de_setiembre_del_2024/wms?service=WMS&request=GetCapabilities","20250206175623___Casos_al_08_de_setiembre_del_2024","20250206175623___Casos_al_08_de_setiembre_del_2024",True,40756,1,"2026-02-18 11:14:23.709268-05"
