id_layer;idtematica;idsubtematico;ide;geo;capa;entidad;frec_act;fecha_reg;fecha_prox;wms;wfs;arcgis;wmts;responsable_geo;estado_proc;fecha_proc;responsable_pub;estado_pub_geo;fecha_pub_geo;estado_ide_proc;fecha_proc_ide;estado_pub_ide;fecha_pub_ide;descripcion;observacion;estado_actu;id_institucion;id_categoria
38800;804;2134;SI;SI;Puntos de Muestreo;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/PuntosdeMuestreo/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/PuntosdeMuestreo/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;16/01/2024;Publicado;16/01/2024;A la fecha se han intervenido 63 U. H. las que cuentan con información en el SNIRH, cabe precisar que, para realizar el cálculo matemático del ICARHS, 1 punto de muestreo debe contar con cuatro (4) monitoreos como mínimo.La metodología ICARHS contempla veinte (20) parámetros, los cuales se encuentran agrupados en dos grupos: Sub índice 1 (Materia orgánica) y Sub Índice 2 (Físico-químico Metal).;Sin observación;ACTUALIZADO;172;2
38801;804;2134;SI;SI;Fuentes Contaminantes;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/FuentesContaminantes/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/FuentesContaminantes/MapServer/WFSServer?service=WFS&request=GetCapabilities;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;26/01/2024;Publicado;26/01/2024;Servicio Web de información de Fuentes Contaminantes proporcionado por la Autoridad Nacional del Agua.;Sin observación;ACTUALIZADO;172;2
38802;804;2134;SI;SI;Vertimientos;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/vVertimientos/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/vVertimientos/MapServer/WFSServer?service=WFS&request=GetCapabilities;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;26/01/2024;Publicado;26/01/2024;Descarga de aguas residuales previamente tratadas que se efectúa en un cuerpo natural de agua continental o marítima. Se excluyen las provenientes de naves y artefactos navales.;Sin observación;ACTUALIZADO;172;2
38804;804;2135;SI;SI;Acuícola;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Acuicola/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Acuicola/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;El Derecho de uso de Agua es el documento que otorga la Autoridad Nacional del Agua, a través de la Administración Local de Agua, a solicitud de parte, autorizando el uso del agua superficial con cargo a excedentes que transitoriamente pudieran presentarse durante determinadas épocas del año. El Perú cuenta con un alto potencial acuícola pues posee una gran biodiversidad de peces, moluscos y crustáceos, recursos hídricos como lagos, manantiales y ríos. En reportes de la FAO estiman que en un futuro la acuicultura será la fuente de proteína en la canasta familiar y traspase a la producción de carne para el 2030.;Sin observación;ACTUALIZADO;172;2
38805;804;2135;SI;SI;Agrarios;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Agrario/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Agrario/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;El Derecho de uso de Agua es el documento que otorga la Autoridad Nacional del Agua, a través de la Administración Local de Agua, a solicitud de parte, autorizando el uso del agua superficial con cargo a excedentes que transitoriamente pudieran presentarse durante determinadas épocas del año.;Sin observación;ACTUALIZADO;172;2
38806;804;2135;SI;SI;De Transporte;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_DeTransporte/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_DeTransporte/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38808;804;2135;SI;SI;Energético;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Energetico/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Energetico/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38809;804;2135;SI;SI;Industrial;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Indunstrial/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Indunstrial/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38810;804;2135;SI;SI;Minero;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Minero/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Minero/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38811;804;2135;SI;SI;Otros Usos;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_OtrosUsos/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_OtrosUsos/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38812;804;2135;SI;SI;Pecuario;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Pecuario/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Pecuario/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38813;804;2135;SI;SI;Pesquero;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Pesquero/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Pesquero/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38814;804;2135;SI;SI;Poblacional;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Poblacional/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Poblacional/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38815;804;2135;SI;SI;Recreativo;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Recreativo/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Recreativo/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
38816;804;2135;SI;SI;Turístico;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Turistico/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/DUA_Turistico/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;12/06/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;20/11/2025;Sin descripción;Sin observación;ACTUALIZADO;172;2
