n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
OFICIO N° 000221-2025-DV-GG,2025-05-05,2025-05-08,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/73dd1515-a852-4670-b575-bed6533a29ec/OFICIO%20N%c2%b0%20000221-2025-DV-GG.pdf,1,2026-03-27
CARTA N° 001-2024-CPMP-GI,2024-03-13,2024-12-20,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/23c855ce-8983-45fb-8a49-1d5a7e89ab4a/CARTA%20N%c2%b0%20001-2024-CPMP-GI.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 089-2018-DV-GG,2018-07-03,2018-07-03,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/7a33b8d7-0908-4f21-9ed0-d88ea0765e1e/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20089-2018-DV-GG.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 031-2024-CPMP-GG,2024-08-09,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/9b263bcd-813f-496e-883b-e469bbd5faf4/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20031-2024-CPMP-GG.pdf,1,2026-03-27
OFICIO N° 000012-2023-CG-GTI,2023-09-28,2023-11-01,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/c7d01bf3-cbc2-4cf5-95ea-edc5eb9d9396/OFICIO-000012-2023-GTI.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 000035-2022-PERÚ COMPRAS-JEFATURA,2022-05-05,2023-11-01,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/e92a858d-5247-4dbc-af26-9b0c7cc5daec/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20000035-2022-PER%c3%9a%20COMPRAS-JEFATURA.pdf,1,2026-03-27
RESOLUCIÓN DE LA SECRETARÍA TÉCNICA DEL CONSEJO FISCAL N° 29-2022-CF-ST,2022-10-21,2022-10-21,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/b1b97b2c-11fd-4fcf-8228-df83dca26e1b/RESOLUCI%c3%93N%20DE%20LA%20SECRETAR%c3%8dA%20T%c3%89CNICA%20DEL%20CONSEJO%20FISCAL%20N%c2%b0%2029-2022-CF-ST.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA N° 004-2019-CONADIS-PRE,2019-01-11,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/dc95e827-7cd6-4d04-9e58-e4e72b3cb26a/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20N%c2%b0%20004-2019-CONADIS-PRE.pdf,1,2026-03-27
RESOLUCIÓN DIRECTORAL N° 000498-2025-DG-DIRIS,2025-06-20,2025-06-27,,1,2026-03-27
OFICIO N° 287-OIE-DPROD-PAG-WEB,2021-11-10,2021-11-10,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/5aa2d0f3-bcd6-483b-9cda-d2cf6a8f07ed/OFICIO%20N%c2%b0%20287-OIE-DPROD-PAG-WEB.pdf,1,2026-03-27
